Training Session ID,Training Name,Training Type,Duration Hours
1131,Strategic Planning,Leadership,60
1132,Problem Solving,Skill Development,32
1133,Workplace Safety,Compliance,40
1134,Leadership Essentials,Leadership,2
1135,Anti-Harassment Training,Compliance,60
1136,SQL for Data Management,Technical,2
1137,Cybersecurity Basics,Technical,8
1138,Advanced Excel,Technical,2
1139,Workplace Safety,Compliance,40
1140,Data Analysis with Python,Technical,60
1141,Code of Conduct,Compliance,40
1142,Problem Solving,Skill Development,32
1143,Team Building,Leadership,16
1144,Creative Thinking,Skill Development,60
1145,Strategic Planning,Leadership,4
1146,Creative Thinking,Skill Development,40
1147,Code of Conduct,Compliance,32
1148,Project Management Software Training,Technical,8
1149,Financial Compliance,Compliance,60
1150,Creative Thinking,Skill Development,2
1151,SQL for Data Management,Technical,32
1152,Strategic Planning,Leadership,40
1153,Financial Compliance,Compliance,60
1154,Financial Compliance,Compliance,60
1155,Anti-Harassment Training,Compliance,8
1156,Creative Thinking,Skill Development,4
1157,SQL for Data Management,Technical,60
1158,Cloud Computing Essentials,Technical,16
1159,Diversity and Inclusion,Compliance,60
1160,Project Management Software Training,Technical,8
1161,Customer Service Excellence,Skill Development,60
1162,Team Building,Leadership,60
1163,Coaching and Mentoring,Leadership,40
1164,Cloud Computing Essentials,Technical,60
1165,Data Privacy and Security,Compliance,8
1166,Team Building,Leadership,32
1167,Creative Thinking,Skill Development,2
1168,Financial Compliance,Compliance,8
1169,Time Management,Skill Development,32
1170,Diversity and Inclusion,Compliance,2
1171,Cybersecurity Basics,Technical,32
1172,Anti-Harassment Training,Compliance,2
1173,Cybersecurity Basics,Technical,4
1174,Data Analysis with Python,Technical,2
1175,Code of Conduct,Compliance,4
1176,Project Management Software Training,Technical,32
1177,Cybersecurity Basics,Technical,16
1178,Creative Thinking,Skill Development,8
1179,SQL for Data Management,Technical,2
1180,Data Privacy and Security,Compliance,8
1181,Coaching and Mentoring,Leadership,2
1182,Data Privacy and Security,Compliance,16
1183,Cybersecurity Basics,Technical,32
1184,Negotiation Skills,Skill Development,60
1185,Communication Skills,Skill Development,60
1186,Workplace Safety,Compliance,16
1187,Financial Compliance,Compliance,40
1188,Workplace Safety,Compliance,32
1189,Leadership Essentials,Leadership,2
1190,Coaching and Mentoring,Leadership,2
1191,Advanced Excel,Technical,32
1192,Team Building,Leadership,2
1193,Advanced Excel,Technical,40
1194,Data Analysis with Python,Technical,8
1195,Cloud Computing Essentials,Technical,8
1196,Leadership Essentials,Leadership,16
1197,Anti-Harassment Training,Compliance,32
1198,Project Management Software Training,Technical,40
1199,Negotiation Skills,Skill Development,2
1200,Data Analysis with Python,Technical,60
1201,SQL for Data Management,Technical,16
1202,Anti-Harassment Training,Compliance,60
1203,Customer Service Excellence,Skill Development,2
1204,Customer Service Excellence,Skill Development,16
1205,Strategic Planning,Leadership,40
1206,Financial Compliance,Compliance,2
1207,Project Management Software Training,Technical,4
1208,Strategic Planning,Leadership,60
1209,Emotional Intelligence,Leadership,32
1210,Leadership Essentials,Leadership,8
1211,Conflict Resolution,Leadership,2
1212,Creative Thinking,Skill Development,32
1213,Workplace Safety,Compliance,60
1214,Workplace Safety,Compliance,40
1215,Cybersecurity Basics,Technical,4
1216,Problem Solving,Skill Development,2
1217,Financial Compliance,Compliance,40
1218,Communication Skills,Skill Development,8
1219,Problem Solving,Skill Development,40
1220,Anti-Harassment Training,Compliance,32
1221,Diversity and Inclusion,Compliance,16
1222,Anti-Harassment Training,Compliance,4
1223,Project Management Software Training,Technical,4
1224,Code of Conduct,Compliance,8
1225,Emotional Intelligence,Leadership,4
1226,Leadership Essentials,Leadership,32
1227,Financial Compliance,Compliance,60
1228,Negotiation Skills,Skill Development,60
1229,Communication Skills,Skill Development,2
1230,Customer Service Excellence,Skill Development,40
1231,Workplace Safety,Compliance,60
1232,Financial Compliance,Compliance,2
1233,Data Analysis with Python,Technical,2
1234,Advanced Excel,Technical,40
1235,Strategic Planning,Leadership,32
1236,Project Management Software Training,Technical,60
1237,Emotional Intelligence,Leadership,60
1238,Data Analysis with Python,Technical,16
1239,Conflict Resolution,Leadership,4
1240,Cloud Computing Essentials,Technical,8
1241,Customer Service Excellence,Skill Development,60
1242,Communication Skills,Skill Development,32
1243,Leadership Essentials,Leadership,4
1244,Project Management Software Training,Technical,2
1245,Cloud Computing Essentials,Technical,40
1246,Time Management,Skill Development,60
1247,Cloud Computing Essentials,Technical,2
1248,Code of Conduct,Compliance,4
1249,Cybersecurity Basics,Technical,8
1250,Communication Skills,Skill Development,16
1251,Creative Thinking,Skill Development,32
1252,Team Building,Leadership,8
1253,SQL for Data Management,Technical,16
1254,Problem Solving,Skill Development,8
1255,Cybersecurity Basics,Technical,4
1256,Workplace Safety,Compliance,32
1257,Communication Skills,Skill Development,32
1258,Project Management Software Training,Technical,40
1259,Diversity and Inclusion,Compliance,16
1260,Workplace Safety,Compliance,16
1261,Workplace Safety,Compliance,4
1262,Customer Service Excellence,Skill Development,4
1263,Problem Solving,Skill Development,16
1264,Advanced Excel,Technical,2
1265,Conflict Resolution,Leadership,2
1266,Project Management Software Training,Technical,60
1267,Advanced Excel,Technical,4
1268,SQL for Data Management,Technical,40
1269,Emotional Intelligence,Leadership,4
1270,Financial Compliance,Compliance,32
1271,Advanced Excel,Technical,2
1272,Coaching and Mentoring,Leadership,60
1273,Problem Solving,Skill Development,8
1274,Data Privacy and Security,Compliance,40
1275,Cloud Computing Essentials,Technical,32
1276,Anti-Harassment Training,Compliance,40
1277,Problem Solving,Skill Development,32
1278,Data Analysis with Python,Technical,4
1279,Coaching and Mentoring,Leadership,32
1280,Customer Service Excellence,Skill Development,32
1281,Leadership Essentials,Leadership,16
1282,Data Analysis with Python,Technical,8
1283,Customer Service Excellence,Skill Development,32
1284,Project Management Software Training,Technical,4
1285,Leadership Essentials,Leadership,2
1286,Data Privacy and Security,Compliance,16
1287,Anti-Harassment Training,Compliance,2
1288,Communication Skills,Skill Development,60
1289,Strategic Planning,Leadership,16
1290,Workplace Safety,Compliance,60
1291,Negotiation Skills,Skill Development,4
1292,Negotiation Skills,Skill Development,60
1293,Cybersecurity Basics,Technical,2
1294,Project Management Software Training,Technical,4
1295,Cybersecurity Basics,Technical,40
1296,Cybersecurity Basics,Technical,8
1297,Team Building,Leadership,8
1298,Workplace Safety,Compliance,40
1299,Conflict Resolution,Leadership,2
1300,Coaching and Mentoring,Leadership,4
1301,Customer Service Excellence,Skill Development,60
1302,Communication Skills,Skill Development,32
1303,Customer Service Excellence,Skill Development,8
1304,Conflict Resolution,Leadership,4
1305,Anti-Harassment Training,Compliance,60
1306,Team Building,Leadership,4
1307,Communication Skills,Skill Development,2
1308,Negotiation Skills,Skill Development,8
1309,Financial Compliance,Compliance,2
1310,Communication Skills,Skill Development,4
1311,Strategic Planning,Leadership,16
1312,Advanced Excel,Technical,32
1313,Communication Skills,Skill Development,4
1314,Leadership Essentials,Leadership,4
1315,Strategic Planning,Leadership,60
1316,Problem Solving,Skill Development,32
1317,Code of Conduct,Compliance,16
1318,Conflict Resolution,Leadership,32
1319,Cloud Computing Essentials,Technical,32
1320,Cybersecurity Basics,Technical,8
1321,Data Analysis with Python,Technical,2
1322,Workplace Safety,Compliance,16
1323,Time Management,Skill Development,32
1324,Diversity and Inclusion,Compliance,4
1325,Creative Thinking,Skill Development,8
1326,Team Building,Leadership,8
1327,SQL for Data Management,Technical,4
1328,Project Management Software Training,Technical,4
1329,Advanced Excel,Technical,4
1330,Financial Compliance,Compliance,60
1331,Conflict Resolution,Leadership,2
1332,Diversity and Inclusion,Compliance,60
1333,Customer Service Excellence,Skill Development,40
1334,Conflict Resolution,Leadership,60
1335,Creative Thinking,Skill Development,16
1336,Problem Solving,Skill Development,2
1337,Customer Service Excellence,Skill Development,32
1338,Anti-Harassment Training,Compliance,2
1339,Code of Conduct,Compliance,8
1340,Cloud Computing Essentials,Technical,16
1341,Cybersecurity Basics,Technical,32
1342,Problem Solving,Skill Development,2
1343,Problem Solving,Skill Development,60
1344,Cybersecurity Basics,Technical,40
1345,Financial Compliance,Compliance,60
1346,SQL for Data Management,Technical,40
1347,Leadership Essentials,Leadership,40
1348,Strategic Planning,Leadership,32
1349,Conflict Resolution,Leadership,16
1350,Project Management Software Training,Technical,8
1351,Strategic Planning,Leadership,8
1352,Data Analysis with Python,Technical,32
1353,Data Privacy and Security,Compliance,4
1354,Data Analysis with Python,Technical,8
1355,Anti-Harassment Training,Compliance,40
1356,Emotional Intelligence,Leadership,16
1357,Creative Thinking,Skill Development,32
1358,SQL for Data Management,Technical,40
1359,Anti-Harassment Training,Compliance,8
1360,Data Analysis with Python,Technical,60
1361,Time Management,Skill Development,60
1362,Financial Compliance,Compliance,2
1363,Conflict Resolution,Leadership,60
1364,Data Analysis with Python,Technical,8
1365,Conflict Resolution,Leadership,40
1366,Cloud Computing Essentials,Technical,32
1367,Financial Compliance,Compliance,16
1368,Time Management,Skill Development,16
1369,Code of Conduct,Compliance,16
1370,Anti-Harassment Training,Compliance,4
1371,Data Analysis with Python,Technical,4
1372,Advanced Excel,Technical,16
1373,Financial Compliance,Compliance,8
1374,Diversity and Inclusion,Compliance,2
1375,Project Management Software Training,Technical,8
1376,Team Building,Leadership,40
1377,Coaching and Mentoring,Leadership,32
1378,Data Analysis with Python,Technical,8
1379,Financial Compliance,Compliance,8
1380,Leadership Essentials,Leadership,32
1381,Advanced Excel,Technical,40
1382,Time Management,Skill Development,60
1383,SQL for Data Management,Technical,8
1384,Team Building,Leadership,32
1385,Cloud Computing Essentials,Technical,60
1386,Negotiation Skills,Skill Development,8
1387,Customer Service Excellence,Skill Development,16
1388,Strategic Planning,Leadership,8
1389,SQL for Data Management,Technical,32
1390,Time Management,Skill Development,40
1391,Coaching and Mentoring,Leadership,2
1392,Time Management,Skill Development,4
1393,Cloud Computing Essentials,Technical,4
1394,Advanced Excel,Technical,16
1395,Advanced Excel,Technical,40
1396,Project Management Software Training,Technical,8
1397,Team Building,Leadership,60
1398,Emotional Intelligence,Leadership,16
1399,Financial Compliance,Compliance,60
1400,Project Management Software Training,Technical,2
1401,Strategic Planning,Leadership,8
1402,Team Building,Leadership,32
1403,Problem Solving,Skill Development,32
1404,Conflict Resolution,Leadership,40
1405,Workplace Safety,Compliance,8
1406,Data Analysis with Python,Technical,40
1407,Negotiation Skills,Skill Development,4
1408,Strategic Planning,Leadership,40
1409,Problem Solving,Skill Development,16
1410,Code of Conduct,Compliance,4
1411,Problem Solving,Skill Development,40
1412,SQL for Data Management,Technical,4
1413,Emotional Intelligence,Leadership,16
1414,Diversity and Inclusion,Compliance,60
1415,SQL for Data Management,Technical,8
1416,Financial Compliance,Compliance,16
1417,Creative Thinking,Skill Development,32
1418,Conflict Resolution,Leadership,32
1419,Cybersecurity Basics,Technical,40
1420,Creative Thinking,Skill Development,2
1421,Project Management Software Training,Technical,40
1422,Diversity and Inclusion,Compliance,4
1423,Coaching and Mentoring,Leadership,4
1424,Project Management Software Training,Technical,32
1425,Diversity and Inclusion,Compliance,2
1426,Creative Thinking,Skill Development,40
1427,Data Privacy and Security,Compliance,16
1428,Creative Thinking,Skill Development,16
1429,Advanced Excel,Technical,2
1430,Leadership Essentials,Leadership,40
1431,Diversity and Inclusion,Compliance,40
1432,SQL for Data Management,Technical,8
1433,Strategic Planning,Leadership,16
1434,Customer Service Excellence,Skill Development,2
1435,Financial Compliance,Compliance,2
1436,Coaching and Mentoring,Leadership,40
1437,Leadership Essentials,Leadership,16
1438,Emotional Intelligence,Leadership,60
1439,Coaching and Mentoring,Leadership,4
1440,Anti-Harassment Training,Compliance,40
1441,Code of Conduct,Compliance,40
1442,Customer Service Excellence,Skill Development,4
1443,Creative Thinking,Skill Development,60
1444,Team Building,Leadership,40
1445,Cloud Computing Essentials,Technical,40
1446,SQL for Data Management,Technical,16
1447,Code of Conduct,Compliance,60
1448,Customer Service Excellence,Skill Development,16
1449,Customer Service Excellence,Skill Development,60
1450,Time Management,Skill Development,32
1451,Data Privacy and Security,Compliance,32
1452,Project Management Software Training,Technical,8
1453,Financial Compliance,Compliance,16
1454,Workplace Safety,Compliance,8
1455,Project Management Software Training,Technical,16
1456,Strategic Planning,Leadership,60
1457,Communication Skills,Skill Development,2
1458,Financial Compliance,Compliance,8
1459,Communication Skills,Skill Development,16
1460,Negotiation Skills,Skill Development,2
1461,Leadership Essentials,Leadership,32
1462,Customer Service Excellence,Skill Development,32
1463,Team Building,Leadership,4
1464,Conflict Resolution,Leadership,32
1465,Advanced Excel,Technical,8
1466,Negotiation Skills,Skill Development,16
1467,Leadership Essentials,Leadership,4
1468,Project Management Software Training,Technical,32
1469,Advanced Excel,Technical,40
1470,Customer Service Excellence,Skill Development,16
1471,Project Management Software Training,Technical,8
1472,Financial Compliance,Compliance,32
1473,Data Privacy and Security,Compliance,32
1474,Negotiation Skills,Skill Development,60
1475,Conflict Resolution,Leadership,4
1476,Coaching and Mentoring,Leadership,60
1477,Data Analysis with Python,Technical,32
1478,Data Privacy and Security,Compliance,60
1479,Financial Compliance,Compliance,2
1480,Data Analysis with Python,Technical,4
1481,Conflict Resolution,Leadership,60
1482,Emotional Intelligence,Leadership,60
1483,Anti-Harassment Training,Compliance,2
1484,Creative Thinking,Skill Development,60
1485,Diversity and Inclusion,Compliance,8
1486,Creative Thinking,Skill Development,16
1487,Workplace Safety,Compliance,16
1488,SQL for Data Management,Technical,60
1489,Team Building,Leadership,2
1490,Code of Conduct,Compliance,2
1491,Data Privacy and Security,Compliance,8
1492,Strategic Planning,Leadership,32
1493,Emotional Intelligence,Leadership,8
1494,Strategic Planning,Leadership,32
1495,Financial Compliance,Compliance,16
1496,Communication Skills,Skill Development,40
1497,Problem Solving,Skill Development,40
1498,Negotiation Skills,Skill Development,16
1499,Code of Conduct,Compliance,2
1500,Workplace Safety,Compliance,32
1501,Cloud Computing Essentials,Technical,32
1502,Financial Compliance,Compliance,60
1503,Time Management,Skill Development,8
1504,Strategic Planning,Leadership,60
1505,Data Privacy and Security,Compliance,40
1506,Financial Compliance,Compliance,40
1507,Customer Service Excellence,Skill Development,2
1508,Negotiation Skills,Skill Development,16
1509,Code of Conduct,Compliance,40
1510,Conflict Resolution,Leadership,32
1511,Diversity and Inclusion,Compliance,16
1512,Creative Thinking,Skill Development,8
1513,Creative Thinking,Skill Development,16
1514,Strategic Planning,Leadership,32
1515,Anti-Harassment Training,Compliance,8
1516,Strategic Planning,Leadership,8
1517,Strategic Planning,Leadership,8
1518,Financial Compliance,Compliance,2
1519,Customer Service Excellence,Skill Development,16
1520,Cloud Computing Essentials,Technical,8
1521,Workplace Safety,Compliance,40
1522,Anti-Harassment Training,Compliance,32
1523,Financial Compliance,Compliance,4
1524,Financial Compliance,Compliance,60
1525,Strategic Planning,Leadership,8
1526,Workplace Safety,Compliance,2
1527,Emotional Intelligence,Leadership,4
1528,Team Building,Leadership,4
1529,Code of Conduct,Compliance,8
1530,Code of Conduct,Compliance,60
1531,Financial Compliance,Compliance,32
1532,Problem Solving,Skill Development,4
1533,Data Analysis with Python,Technical,2
1534,Problem Solving,Skill Development,16
1535,Conflict Resolution,Leadership,60
1536,Emotional Intelligence,Leadership,2
1537,Project Management Software Training,Technical,8
1538,Time Management,Skill Development,16
1539,Coaching and Mentoring,Leadership,4
1540,Problem Solving,Skill Development,2
1541,Strategic Planning,Leadership,4
1542,Workplace Safety,Compliance,40
1543,Anti-Harassment Training,Compliance,60
1544,Workplace Safety,Compliance,4
1545,Conflict Resolution,Leadership,8
1546,Anti-Harassment Training,Compliance,32
1547,Coaching and Mentoring,Leadership,8
1548,Data Analysis with Python,Technical,32
1549,Workplace Safety,Compliance,16
1550,Customer Service Excellence,Skill Development,32
1551,Financial Compliance,Compliance,32
1552,SQL for Data Management,Technical,40
1553,Problem Solving,Skill Development,8
1554,Workplace Safety,Compliance,16
1555,Conflict Resolution,Leadership,4
1556,Emotional Intelligence,Leadership,16
1557,Coaching and Mentoring,Leadership,8
1558,SQL for Data Management,Technical,32
1559,Leadership Essentials,Leadership,8
1560,Leadership Essentials,Leadership,32
1561,Code of Conduct,Compliance,32
1562,SQL for Data Management,Technical,4
1563,Cybersecurity Basics,Technical,16
1564,Advanced Excel,Technical,2
1565,Anti-Harassment Training,Compliance,60
1566,Anti-Harassment Training,Compliance,32
1567,Cybersecurity Basics,Technical,16
1568,Negotiation Skills,Skill Development,40
1569,Problem Solving,Skill Development,32
1570,Leadership Essentials,Leadership,8
1571,Anti-Harassment Training,Compliance,4
1572,Anti-Harassment Training,Compliance,16
1573,Data Privacy and Security,Compliance,2
1574,Diversity and Inclusion,Compliance,40
1575,Data Privacy and Security,Compliance,8
1576,Project Management Software Training,Technical,8
1577,Team Building,Leadership,8
1578,Cybersecurity Basics,Technical,2
1579,Cloud Computing Essentials,Technical,16
1580,Cloud Computing Essentials,Technical,16
1581,Anti-Harassment Training,Compliance,8
1582,Communication Skills,Skill Development,32
1583,Workplace Safety,Compliance,8
1584,Communication Skills,Skill Development,16
1585,Negotiation Skills,Skill Development,8
1586,Negotiation Skills,Skill Development,40
1587,Diversity and Inclusion,Compliance,40
1588,Cloud Computing Essentials,Technical,4
1589,Strategic Planning,Leadership,4
1590,Emotional Intelligence,Leadership,32
1591,Cybersecurity Basics,Technical,40
1592,Team Building,Leadership,4
1593,Emotional Intelligence,Leadership,8
1594,Problem Solving,Skill Development,16
1595,Data Analysis with Python,Technical,32
1596,Customer Service Excellence,Skill Development,16
1597,Advanced Excel,Technical,4
1598,Customer Service Excellence,Skill Development,4
1599,Team Building,Leadership,4
1600,Cloud Computing Essentials,Technical,2
1601,Code of Conduct,Compliance,16
1602,Coaching and Mentoring,Leadership,32
1603,Advanced Excel,Technical,32
1604,Advanced Excel,Technical,8
1605,Leadership Essentials,Leadership,32
1606,Creative Thinking,Skill Development,2
1607,Strategic Planning,Leadership,8
1608,Code of Conduct,Compliance,60
1609,Code of Conduct,Compliance,40
1610,Code of Conduct,Compliance,32
1611,Problem Solving,Skill Development,40
1612,Problem Solving,Skill Development,60
1613,Creative Thinking,Skill Development,8
1614,Emotional Intelligence,Leadership,2
1615,Data Privacy and Security,Compliance,8
1616,Project Management Software Training,Technical,8
1617,Emotional Intelligence,Leadership,60
1618,Problem Solving,Skill Development,60
1619,Data Privacy and Security,Compliance,2
1620,Leadership Essentials,Leadership,32
1621,Conflict Resolution,Leadership,40
1622,Time Management,Skill Development,60
1623,Coaching and Mentoring,Leadership,40
1624,Advanced Excel,Technical,4
1625,Problem Solving,Skill Development,8
1626,Project Management Software Training,Technical,40
1627,Financial Compliance,Compliance,2
1628,Problem Solving,Skill Development,2
1629,Code of Conduct,Compliance,40
1630,Coaching and Mentoring,Leadership,40
1631,Code of Conduct,Compliance,2
1632,Creative Thinking,Skill Development,4
1633,Diversity and Inclusion,Compliance,2
1634,Conflict Resolution,Leadership,2
1635,Workplace Safety,Compliance,2
1636,Team Building,Leadership,60
1637,Customer Service Excellence,Skill Development,16
1638,Anti-Harassment Training,Compliance,8
1639,Customer Service Excellence,Skill Development,60
1640,Time Management,Skill Development,60
1641,Leadership Essentials,Leadership,32
1642,Cloud Computing Essentials,Technical,8
1643,Data Analysis with Python,Technical,60
1644,Cybersecurity Basics,Technical,4
1645,Financial Compliance,Compliance,32
1646,Customer Service Excellence,Skill Development,32
1647,Coaching and Mentoring,Leadership,8
1648,Diversity and Inclusion,Compliance,40
1649,Emotional Intelligence,Leadership,8
1650,Data Analysis with Python,Technical,60
1651,Code of Conduct,Compliance,32
1652,Problem Solving,Skill Development,2
1653,Diversity and Inclusion,Compliance,2
1654,Negotiation Skills,Skill Development,60
1655,Coaching and Mentoring,Leadership,60
1656,Conflict Resolution,Leadership,40
1657,Negotiation Skills,Skill Development,60
1658,Code of Conduct,Compliance,16
1659,Data Privacy and Security,Compliance,16
1660,Cybersecurity Basics,Technical,16
1661,Diversity and Inclusion,Compliance,60
1662,Conflict Resolution,Leadership,2
1663,Leadership Essentials,Leadership,2
1664,Time Management,Skill Development,40
1665,Conflict Resolution,Leadership,16
1666,Workplace Safety,Compliance,40
1667,Data Analysis with Python,Technical,4
1668,Workplace Safety,Compliance,60
1669,Advanced Excel,Technical,40
1670,Anti-Harassment Training,Compliance,8
1671,Problem Solving,Skill Development,40
1672,Project Management Software Training,Technical,40
1673,Cloud Computing Essentials,Technical,16
1674,Strategic Planning,Leadership,60
1675,SQL for Data Management,Technical,4
1676,Advanced Excel,Technical,60
1677,Code of Conduct,Compliance,40
1678,Customer Service Excellence,Skill Development,32
1679,Emotional Intelligence,Leadership,60
1680,Leadership Essentials,Leadership,60
1681,Cybersecurity Basics,Technical,2
1682,Problem Solving,Skill Development,60
1683,Time Management,Skill Development,32
1684,Diversity and Inclusion,Compliance,2
1685,Communication Skills,Skill Development,40
1686,Cybersecurity Basics,Technical,32
1687,Negotiation Skills,Skill Development,16
1688,Advanced Excel,Technical,2
1689,Data Privacy and Security,Compliance,16
1690,Team Building,Leadership,40
1691,Data Analysis with Python,Technical,4
1692,Conflict Resolution,Leadership,2
1693,Conflict Resolution,Leadership,32
1694,Problem Solving,Skill Development,32
1695,Coaching and Mentoring,Leadership,8
1696,Customer Service Excellence,Skill Development,8
1697,SQL for Data Management,Technical,40
1698,Problem Solving,Skill Development,4
1699,Data Privacy and Security,Compliance,40
1700,Anti-Harassment Training,Compliance,32
1701,Emotional Intelligence,Leadership,2
1702,Customer Service Excellence,Skill Development,8
1703,Financial Compliance,Compliance,4
1704,Problem Solving,Skill Development,32
1705,Conflict Resolution,Leadership,60
1706,Financial Compliance,Compliance,2
1707,Coaching and Mentoring,Leadership,4
1708,Anti-Harassment Training,Compliance,60
1709,Strategic Planning,Leadership,4
1710,Anti-Harassment Training,Compliance,4
1711,Code of Conduct,Compliance,32
1712,Team Building,Leadership,16
1713,Time Management,Skill Development,4
1714,Leadership Essentials,Leadership,4
1715,Cloud Computing Essentials,Technical,2
1716,Negotiation Skills,Skill Development,32
1717,Leadership Essentials,Leadership,16
1718,Project Management Software Training,Technical,32
1719,SQL for Data Management,Technical,4
1720,Data Privacy and Security,Compliance,4
1721,Problem Solving,Skill Development,8
1722,Anti-Harassment Training,Compliance,8
1723,SQL for Data Management,Technical,40
1724,SQL for Data Management,Technical,60
1725,SQL for Data Management,Technical,2
1726,Problem Solving,Skill Development,16
1727,SQL for Data Management,Technical,60
1728,Strategic Planning,Leadership,32
1729,Data Analysis with Python,Technical,60
1730,Conflict Resolution,Leadership,16
1731,SQL for Data Management,Technical,4
1732,Coaching and Mentoring,Leadership,4
1733,SQL for Data Management,Technical,32
1734,Cloud Computing Essentials,Technical,8
1735,Diversity and Inclusion,Compliance,40
1736,Team Building,Leadership,16
1737,Cybersecurity Basics,Technical,2
1738,Diversity and Inclusion,Compliance,8
1739,Customer Service Excellence,Skill Development,16
1740,Cloud Computing Essentials,Technical,60
1741,Time Management,Skill Development,60
1742,Anti-Harassment Training,Compliance,4
1743,Anti-Harassment Training,Compliance,16
1744,Financial Compliance,Compliance,16
1745,Team Building,Leadership,2
1746,Data Analysis with Python,Technical,4
1747,Data Privacy and Security,Compliance,32
1748,Negotiation Skills,Skill Development,8
1749,Coaching and Mentoring,Leadership,32
1750,Advanced Excel,Technical,2
1751,Cybersecurity Basics,Technical,40
1752,Team Building,Leadership,16
1753,Customer Service Excellence,Skill Development,2
1754,Negotiation Skills,Skill Development,40
1755,Team Building,Leadership,32
1756,Creative Thinking,Skill Development,4
1757,Diversity and Inclusion,Compliance,2
1758,Coaching and Mentoring,Leadership,4
1759,Emotional Intelligence,Leadership,40
1760,Problem Solving,Skill Development,4
1761,Creative Thinking,Skill Development,60
1762,Cloud Computing Essentials,Technical,4
1763,Data Privacy and Security,Compliance,16
1764,Cloud Computing Essentials,Technical,8
1765,Emotional Intelligence,Leadership,8
1766,Coaching and Mentoring,Leadership,32
1767,Time Management,Skill Development,2
1768,Anti-Harassment Training,Compliance,2
1769,Problem Solving,Skill Development,16
1770,Leadership Essentials,Leadership,2
1771,Creative Thinking,Skill Development,16
1772,Customer Service Excellence,Skill Development,16
1773,Problem Solving,Skill Development,4
1774,Advanced Excel,Technical,32
1775,Anti-Harassment Training,Compliance,60
1776,Project Management Software Training,Technical,60
1777,Emotional Intelligence,Leadership,40
1778,Customer Service Excellence,Skill Development,16
1779,Anti-Harassment Training,Compliance,32
1780,Conflict Resolution,Leadership,16
1781,Leadership Essentials,Leadership,16
1782,Data Analysis with Python,Technical,4
1783,Customer Service Excellence,Skill Development,16
1784,Strategic Planning,Leadership,60
1785,Project Management Software Training,Technical,40
1786,Communication Skills,Skill Development,8
1787,Workplace Safety,Compliance,16
1788,Project Management Software Training,Technical,4
1789,Code of Conduct,Compliance,8
1790,Negotiation Skills,Skill Development,8
1791,Cybersecurity Basics,Technical,2
1792,Diversity and Inclusion,Compliance,2
1793,Problem Solving,Skill Development,60
1794,Conflict Resolution,Leadership,32
1795,SQL for Data Management,Technical,4
1796,Negotiation Skills,Skill Development,32
1797,Strategic Planning,Leadership,16
1798,Leadership Essentials,Leadership,2
1799,Data Privacy and Security,Compliance,4
1800,Project Management Software Training,Technical,2
1801,Conflict Resolution,Leadership,2
1802,Leadership Essentials,Leadership,40
1803,Anti-Harassment Training,Compliance,8
1804,Data Privacy and Security,Compliance,16
1805,Creative Thinking,Skill Development,2
1806,Financial Compliance,Compliance,40
1807,Workplace Safety,Compliance,32
1808,Strategic Planning,Leadership,16
1809,Diversity and Inclusion,Compliance,32
1810,Project Management Software Training,Technical,8
1811,Time Management,Skill Development,2
1812,Team Building,Leadership,16
1813,Conflict Resolution,Leadership,40
1814,Diversity and Inclusion,Compliance,40
1815,Project Management Software Training,Technical,8
1816,Coaching and Mentoring,Leadership,8
1817,Customer Service Excellence,Skill Development,4
1818,Time Management,Skill Development,4
1819,Emotional Intelligence,Leadership,60
1820,Cybersecurity Basics,Technical,40
1821,Time Management,Skill Development,60
1822,Data Privacy and Security,Compliance,16
1823,SQL for Data Management,Technical,16
1824,Cybersecurity Basics,Technical,4
1825,Time Management,Skill Development,60
1826,Code of Conduct,Compliance,8
1827,Problem Solving,Skill Development,32
1828,Strategic Planning,Leadership,40
1829,Project Management Software Training,Technical,16
1830,Project Management Software Training,Technical,16
1831,Cybersecurity Basics,Technical,16
1832,Emotional Intelligence,Leadership,16
1833,Negotiation Skills,Skill Development,4
1834,Workplace Safety,Compliance,60
1835,Project Management Software Training,Technical,4
1836,Cloud Computing Essentials,Technical,40
1837,Advanced Excel,Technical,4
1838,Coaching and Mentoring,Leadership,2
1839,Project Management Software Training,Technical,32
1840,Cybersecurity Basics,Technical,40
1841,SQL for Data Management,Technical,8
1842,Project Management Software Training,Technical,40
1843,Financial Compliance,Compliance,4
1844,Project Management Software Training,Technical,60
1845,Financial Compliance,Compliance,16
1846,Code of Conduct,Compliance,8
1847,Anti-Harassment Training,Compliance,2
1848,Creative Thinking,Skill Development,4
1849,Advanced Excel,Technical,32
1850,Negotiation Skills,Skill Development,4
1851,Project Management Software Training,Technical,8
1852,Time Management,Skill Development,16
1853,Code of Conduct,Compliance,16
1854,Time Management,Skill Development,8
1855,Cloud Computing Essentials,Technical,8
1856,Data Analysis with Python,Technical,8
1857,Code of Conduct,Compliance,2
1858,Creative Thinking,Skill Development,40
1859,SQL for Data Management,Technical,4
1860,Advanced Excel,Technical,4
1861,SQL for Data Management,Technical,60
1862,Anti-Harassment Training,Compliance,60
1863,Time Management,Skill Development,32
1864,Problem Solving,Skill Development,16
1865,Creative Thinking,Skill Development,4
1866,Project Management Software Training,Technical,2
1867,Data Analysis with Python,Technical,4
1868,Negotiation Skills,Skill Development,32
1869,Customer Service Excellence,Skill Development,8
1870,Communication Skills,Skill Development,4
